AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
9.8,0.15,-0.23,-0.03,-0.02,-0.02
9.83,0.15,-0.22,-0.03,-0.02,-0.02
9.81,0.15,-0.23,-0.03,-0.02,-0.02
9.83,0.16,-0.26,-0.03,-0.02,-0.02
9.8,0.15,-0.24,-0.03,-0.02,-0.02
9.82,0.16,-0.24,-0.02,-0.02,-0.02
9.82,0.15,-0.23,-0.02,-0.02,-0.02
9.8,0.13,-0.21,-0.03,-0.02,-0.02
9.8,0.14,-0.21,-0.03,-0.02,-0.02
9.84,0.14,-0.22,-0.03,-0.02,-0.02
9.82,0.13,-0.23,-0.02,-0.02,-0.02
9.82,0.15,-0.21,-0.03,-0.02,-0.02
9.81,0.15,-0.22,-0.03,-0.02,-0.02
9.82,0.16,-0.23,-0.02,-0.02,-0.02
9.83,0.14,-0.23,-0.02,-0.02,-0.02
9.85,0.13,-0.21,-0.03,-0.02,-0.02
9.83,0.12,-0.23,-0.03,-0.02,-0.02
9.8,0.13,-0.25,-0.03,-0.02,-0.02
9.83,0.14,-0.25,-0.03,-0.02,-0.02
9.81,0.14,-0.23,-0.03,-0.02,-0.02
9.81,0.16,-0.25,-0.03,-0.02,-0.02
9.84,0.16,-0.24,-0.03,-0.02,-0.02
9.81,0.15,-0.22,-0.03,-0.02,-0.02
9.81,0.14,-0.23,-0.02,-0.02,-0.02
9.82,0.14,-0.21,-0.03,-0.02,-0.02
9.81,0.12,-0.21,-0.02,-0.02,-0.02
9.82,0.13,-0.23,-0.03,-0.02,-0.02
9.82,0.14,-0.22,-0.03,-0.02,-0.02
9.82,0.13,-0.2,-0.03,-0.02,-0.02
9.81,0.12,-0.23,-0.03,-0.02,-0.02
9.81,0.14,-0.22,-0.03,-0.02,-0.02
9.8,0.16,-0.2,-0.03,-0.02,-0.02
9.82,0.16,-0.21,-0.03,-0.02,-0.02
9.84,0.15,-0.22,-0.03,-0.02,-0.02
9.82,0.15,-0.22,-0.02,-0.02,-0.02
9.83,0.16,-0.2,-0.03,-0.02,-0.02
9.84,0.15,-0.22,-0.03,-0.02,-0.02
9.8,0.15,-0.22,-0.03,-0.02,-0.02
9.82,0.16,-0.23,-0.02,-0.02,-0.02
9.82,0.12,-0.21,-0.03,-0.02,-0.02
9.81,0.15,-0.21,-0.03,-0.02,-0.02
9.81,0.12,-0.21,-0.03,-0.02,-0.02
9.8,0.14,-0.23,-0.03,-0.02,-0.02
9.82,0.16,-0.23,-0.03,-0.02,-0.02
9.81,0.15,-0.23,-0.03,-0.02,-0.02
9.82,0.15,-0.23,-0.02,-0.02,-0.02
9.8,0.15,-0.2,-0.03,-0.02,-0.02
9.8,0.16,-0.23,-0.03,-0.02,-0.02
9.81,0.15,-0.24,-0.03,-0.02,-0.02
9.81,0.15,-0.23,-0.03,-0.02,-0.02
9.82,0.15,-0.19,-0.03,-0.02,-0.02
9.81,0.13,-0.21,-0.02,-0.02,-0.02
9.81,0.13,-0.22,-0.02,-0.02,-0.02
9.8,0.13,-0.22,-0.03,-0.02,-0.02
9.85,0.14,-0.23,-0.03,-0.02,-0.02
9.82,0.14,-0.23,-0.02,-0.02,-0.02
9.82,0.14,-0.22,-0.03,-0.02,-0.02
9.82,0.15,-0.23,-0.03,-0.02,-0.02
9.83,0.14,-0.23,-0.03,-0.02,-0.02
9.8,0.17,-0.21,-0.03,-0.02,-0.02
9.82,0.15,-0.21,-0.02,-0.02,-0.02
9.82,0.16,-0.22,-0.03,-0.02,-0.02
9.81,0.14,-0.23,-0.03,-0.02,-0.02
9.81,0.13,-0.23,-0.03,-0.02,-0.02
9.8,0.12,-0.23,-0.03,-0.02,-0.02
9.82,0.13,-0.24,-0.02,-0.02,-0.02
9.8,0.16,-0.2,-0.02,-0.02,-0.02
9.83,0.14,-0.22,-0.03,-0.02,-0.02
9.8,0.15,-0.21,-0.03,-0.02,-0.02
9.8,0.14,-0.23,-0.03,-0.02,-0.02
9.81,0.15,-0.23,-0.03,-0.02,-0.02
9.83,0.15,-0.23,-0.03,-0.02,-0.02
9.83,0.15,-0.22,-0.02,-0.02,-0.02
9.8,0.14,-0.21,-0.03,-0.02,-0.01
9.8,0.13,-0.25,-0.03,-0.02,-0.01
9.82,0.14,-0.18,-0.02,-0.02,-0.02
9.8,0.12,-0.22,-0.03,-0.02,-0.02
9.81,0.12,-0.21,-0.03,-0.02,-0.02
9.78,0.14,-0.21,-0.03,-0.02,-0.02
9.8,0.15,-0.21,-0.03,-0.02,-0.02
9.8,0.16,-0.23,-0.03,-0.02,-0.02
9.82,0.18,-0.23,-0.02,-0.02,-0.02
9.84,0.18,-0.22,-0.03,-0.02,-0.02
9.83,0.19,-0.23,-0.02,-0.02,-0.02
9.84,0.16,-0.23,-0.02,-0.02,-0.01
9.81,0.15,-0.23,-0.02,-0.02,-0.01
9.8,0.13,-0.21,-0.02,-0.02,-0.01
9.79,0.13,-0.23,-0.02,-0.02,-0.02
9.79,0.11,-0.21,-0.03,-0.02,-0.02
9.79,0.11,-0.23,-0.03,-0.02,-0.02
9.78,0.11,-0.22,-0.03,-0.02,-0.02
9.79,0.12,-0.23,-0.03,-0.02,-0.02
9.82,0.15,-0.21,-0.03,-0.02,-0.02
9.82,0.19,-0.25,-0.03,-0.02,-0.02
