AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
9.83,0.13,-0.21,-0.03,-0.02,-0.02
9.8,0.12,-0.24,-0.02,-0.02,-0.02
9.81,0.13,-0.21,-0.03,-0.02,-0.02
9.81,0.14,-0.22,-0.03,-0.02,-0.02
9.84,0.14,-0.23,-0.03,-0.02,-0.02
9.84,0.14,-0.23,-0.03,-0.02,-0.02
9.79,0.14,-0.25,-0.03,-0.02,-0.02
9.82,0.11,-0.23,-0.03,-0.02,-0.01
9.79,0.14,-0.22,-0.02,-0.02,-0.02
9.83,0.11,-0.21,-0.03,-0.02,-0.02
9.82,0.13,-0.22,-0.03,-0.02,-0.02
9.81,0.14,-0.24,-0.03,-0.02,-0.02
9.81,0.16,-0.22,-0.03,-0.02,-0.02
9.79,0.11,-0.2,-0.03,-0.02,-0.02
9.82,0.12,-0.2,-0.03,-0.02,-0.01
9.81,0.13,-0.22,-0.02,-0.02,-0.01
9.83,0.12,-0.24,-0.02,-0.02,-0.01
9.82,0.12,-0.22,-0.02,-0.02,-0.01
9.79,0.14,-0.21,-0.02,-0.02,-0.02
9.81,0.12,-0.2,-0.02,-0.02,-0.02
9.79,0.13,-0.22,-0.03,-0.02,-0.02
9.79,0.13,-0.22,-0.02,-0.02,-0.02
9.84,0.14,-0.23,-0.03,-0.02,-0.01
9.7,0.13,-0.19,-0.03,-0.03,-0.03
9.8,0.11,-0.2,-0.03,-0.02,-0.01
9.72,0.96,0.7,-0.23,-0.02,-0.02
9.96,0.04,0.06,-0.0,-0.03,-0.03
9.84,0.62,-0.69,0.25,0.01,-0.01
9.85,0.23,-0.93,0.4,-0.01,-0.03
9.74,0.12,-0.8,0.45,0.02,-0.03
9.75,0.34,-1.01,0.64,0.0,-0.03
9.78,-0.14,-0.52,0.75,-0.0,-0.05
9.86,-1.17,-0.1,0.8,-0.01,-0.04
9.88,-1.18,-0.12,0.79,-0.01,-0.04
9.81,-0.56,-0.13,0.71,-0.01,-0.04
9.75,-0.7,-0.36,0.55,-0.02,-0.03
9.85,-1.17,-0.33,0.34,-0.02,-0.02
9.8,-1.3,-0.14,0.14,-0.03,-0.02
9.76,-1.19,0.45,-0.09,-0.03,-0.01
9.92,-0.28,1.73,-0.16,-0.03,-0.02
9.76,0.1,2.71,0.06,-0.04,-0.02
9.74,0.14,1.98,0.3,-0.04,-0.03
9.8,0.91,1.0,0.44,-0.05,-0.03
9.72,1.32,0.07,0.49,-0.06,-0.04
9.84,1.68,-1.19,0.42,-0.03,-0.03
9.72,2.09,-1.9,0.22,-0.04,-0.02
9.77,2.04,-2.29,-0.0,-0.03,-0.01
9.77,1.93,-1.74,-0.1,-0.05,-0.01
9.73,1.49,-1.4,-0.1,-0.04,-0.01
9.91,1.45,-1.84,-0.07,-0.0,-0.02
9.67,1.31,-1.78,0.07,0.04,-0.04
9.8,-0.11,-2.25,0.09,0.03,-0.03
9.76,-0.33,-2.58,-0.02,0.03,-0.02
9.7,-0.85,-2.29,-0.18,-0.02,-0.02
9.79,-1.1,-2.3,-0.39,-0.0,0.01
9.73,-0.68,-1.5,-0.59,-0.04,0.01
9.85,-0.87,-0.28,-0.71,-0.06,0.01
9.88,-1.07,1.01,-0.66,-0.05,0.0
9.94,-1.0,2.21,-0.54,-0.06,-0.0
9.88,-0.78,2.68,-0.37,-0.07,-0.01
9.9,-0.36,2.81,-0.17,-0.05,-0.02
9.86,0.01,1.96,-0.01,-0.08,-0.03
9.87,-0.13,0.88,0.03,-0.12,-0.04
9.88,-0.06,1.06,-0.04,-0.09,-0.03
9.89,-0.49,2.14,-0.03,-0.03,-0.02
9.97,-0.76,2.64,0.15,-0.0,-0.02
